业务名称,年份,周次,开始日期,结束日期,周类型,维度类型,维度值,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%,贡献度%,次/万单贡献
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,FAQ,退款进度查询,15888,1086838,146.19,13231,880260,150.31,-4.12,-2.74,5.63,-0.23
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,FAQ,优惠券使用,2001,708365,28.25,2379,569772,41.75,-13.5,-32.34,-2.32,0.31
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,FAQ,会员权益,10439,560124,186.37,10598,671797,157.76,28.61,18.14,5.72,1.64
到餐客服,2025,W1,2025-01-06,2025-01-12,历史对比期,FAQ,积分兑换,23463,314515,746.01,18330,314724,582.42,163.59,28.09,16.8,27.48
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,城市等级,一线城市,9926,662836,149.75,8300,646911,128.3,21.45,16.72,14.33,3.07
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,城市等级,二线城市,11230,909885,123.42,11222,875845,128.13,-4.71,-3.68,20.48,-0.96
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,城市等级,三线城市,16575,1086720,152.52,12255,988923,123.92,28.6,23.08,4.92,1.41
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,城市等级,四线城市,25072,247455,1013.19,21448,236710,906.09,107.1,11.82,-3.92,-4.2
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,城市等级,五线城市,1851,1507120,12.28,1487,1089439,13.65,-1.37,-10.04,21.56,-0.3
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,品类,外卖,6140,262713,233.72,5501,203637,270.14,-36.42,-13.48,11.89,-4.33
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,品类,到店,12914,491192,262.91,15804,535489,295.13,-32.22,-10.92,4.86,-1.57
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,品类,酒旅,19660,1475523,133.24,24190,1471474,164.39,-31.15,-18.95,-2.14,0.67
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,品类,闪购,7782,676906,114.96,8667,834139,103.9,11.06,10.64,2.19,0.24
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,品类,优选,11220,1301451,86.21,8290,1327418,62.45,23.76,38.05,8.94,2.12
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,配送问题,24222,1460002,165.9,19608,1519377,129.05,36.85,28.55,19.0,7.0
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,退款问题,6640,332406,199.76,6652,367249,181.13,18.63,10.29,19.68,3.67
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,质量问题,26414,1070607,246.72,19997,1145615,174.55,72.17,41.35,19.22,13.87
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,服务态度,11208,286501,391.2,11526,372183,309.69,81.51,26.32,2.64,2.15
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,优惠券问题,19286,1650482,116.85,18296,1194071,153.22,-36.37,-23.74,13.21,-4.8
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,账户问题,1060,489804,21.64,1106,402465,27.48,-5.84,-21.25,2.88,-0.17
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,支付问题,20843,470607,442.9,23252,412230,564.05,-121.15,-21.48,20.27,-24.56
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,事件类别,会员服务,19079,52417,3639.85,18509,50818,3642.21,-2.36,-0.06,9.83,-0.23
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,进线渠道,APP在线,17498,1228959,142.38,14866,1155688,128.63,13.75,10.69,-3.58,-0.49
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,进线渠道,电话热线,5267,1302031,40.45,5089,1048002,48.56,-8.11,-16.7,12.56,-1.02
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,进线渠道,小程序,4446,553297,80.35,4138,452538,91.44,-11.09,-12.13,21.7,-2.41
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,进线渠道,网页端,17343,845044,205.23,17210,971578,177.13,28.1,15.86,21.77,6.12
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,战区,华东战区,5895,238543,247.13,6519,223287,291.96,-44.83,-15.35,14.24,-6.38
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,战区,华南战区,20142,297132,677.88,16068,218806,734.35,-56.47,-7.69,4.99,-2.82
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,战区,华北战区,19334,1263459,153.02,19140,909063,210.55,-57.53,-27.32,-1.25,0.72
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,战区,华中战区,15391,1409512,109.19,17216,1281636,134.33,-25.14,-18.72,11.19,-2.81
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,战区,西南战区,7575,1277219,59.31,6665,1199745,55.55,3.76,6.77,8.15,0.31
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,战区,西北战区,23228,1055564,220.05,23305,1056574,220.57,-0.52,-0.24,5.7,-0.03
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,FAQ,配送时效咨询,14813,272455,543.69,16138,344091,469.0,74.69,15.93,1.08,0.81
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,FAQ,退款进度查询,11695,488032,239.64,10479,489653,214.01,25.63,11.98,20.51,5.26
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,FAQ,优惠券使用,8090,1254477,64.49,7821,1040585,75.16,-10.67,-14.2,12.47,-1.33
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,FAQ,会员权益,2048,158935,128.86,1914,150376,127.28,1.58,1.24,2.2,0.03
到餐客服,2025,W2,2025-01-13,2025-01-19,历史对比期,FAQ,积分兑换,7720,637585,121.08,5232,572879,91.33,29.75,32.57,9.73,2.89
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,城市等级,一线城市,4870,582686,83.58,5899,593202,99.44,-15.86,-15.95,18.55,-2.94
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,城市等级,二线城市,17792,1117357,159.23,18483,1210255,152.72,6.51,4.26,-4.93,-0.32
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,城市等级,三线城市,14831,948650,156.34,12338,948285,130.11,26.23,20.16,17.14,4.5
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,城市等级,四线城市,4278,1429106,29.93,4321,1395184,30.97,-1.04,-3.36,23.89,-0.25
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,城市等级,五线城市,11301,483987,233.5,8339,468829,177.87,55.63,31.28,16.19,9.01
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,品类,外卖,4400,549078,80.13,3163,556481,56.84,23.29,40.97,-1.48,-0.34
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,品类,到店,8550,609202,140.35,8275,583183,141.89,-1.54,-1.09,22.15,-0.34
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,品类,酒旅,12584,1419561,88.65,11536,1349269,85.5,3.15,3.68,14.36,0.45
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,品类,闪购,15674,1015521,154.34,14968,946849,158.08,-3.74,-2.37,6.14,-0.23
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,品类,优选,12701,261430,485.83,12774,244052,523.41,-37.58,-7.18,-0.72,0.27
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,配送问题,15023,50115,2997.71,12064,57186,2109.61,888.1,42.1,-3.45,-30.64
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,退款问题,4046,1073901,37.68,4787,1178965,40.6,-2.92,-7.19,11.12,-0.32
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,质量问题,22712,174677,1300.23,18870,206039,915.85,384.38,41.97,8.69,33.4
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,服务态度,19196,1077201,178.2,14088,1135261,124.09,54.11,43.61,18.44,9.98
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,优惠券问题,15736,648144,242.79,15465,692306,223.38,19.41,8.69,-1.85,-0.36
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,账户问题,15491,1178088,131.49,13572,804575,168.69,-37.2,-22.05,-2.16,0.8
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,支付问题,15681,1211356,129.45,13906,1087598,127.86,1.59,1.24,14.38,0.23
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,事件类别,会员服务,12578,446934,281.43,13579,331145,410.06,-128.63,-31.37,5.52,-7.1
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,进线渠道,APP在线,3466,64849,534.47,2750,57501,478.25,56.22,11.76,-3.51,-1.97
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,进线渠道,电话热线,17395,552527,314.83,17850,485422,367.72,-52.89,-14.38,7.72,-4.08
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,进线渠道,小程序,24742,1108735,223.16,18856,1057764,178.26,44.9,25.19,10.08,4.53
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,进线渠道,网页端,16399,1000890,163.84,17090,805657,212.13,-48.29,-22.76,9.23,-4.46
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,战区,华东战区,8356,1296930,64.43,6272,1104551,56.78,7.65,13.47,3.42,0.26
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,战区,华南战区,4959,569434,87.09,3840,597895,64.23,22.86,35.59,17.34,3.96
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,战区,华北战区,22752,843141,269.85,19011,942951,201.61,68.24,33.85,2.25,1.54
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,战区,华中战区,12062,477928,252.38,10027,409708,244.74,7.64,3.12,12.73,0.97
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,战区,西南战区,22492,1235705,182.02,16220,1481146,109.51,72.51,66.21,4.6,3.34
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,战区,西北战区,3442,192943,178.39,3329,183919,181.0,-2.61,-1.44,23.53,-0.61
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,FAQ,配送时效咨询,21578,697478,309.37,19119,747246,255.86,53.51,20.91,16.76,8.97
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,FAQ,退款进度查询,11817,1315315,89.84,10452,1088589,96.01,-6.17,-6.43,-3.33,0.21
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,FAQ,优惠券使用,23232,321414,722.81,24531,323898,757.37,-34.56,-4.56,20.75,-7.17
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,FAQ,会员权益,7720,94632,815.79,7971,104555,762.37,53.42,7.01,24.28,12.97
到餐客服,2025,W3,2025-01-20,2025-01-26,历史对比期,FAQ,积分兑换,14198,1019368,139.28,14555,1109841,131.14,8.14,6.21,23.62,1.92
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,城市等级,一线城市,14094,1095519,128.65,14692,1046380,140.41,-11.76,-8.38,2.37,-0.28
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,城市等级,二线城市,15300,1215501,125.87,14126,1213842,116.37,9.5,8.16,11.74,1.12
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,城市等级,三线城市,5928,439615,134.85,5811,537268,108.16,26.69,24.68,13.24,3.53
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,城市等级,四线城市,27467,332908,825.06,26495,330747,801.07,23.99,2.99,22.59,5.42
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,城市等级,五线城市,8398,883837,95.02,6561,789561,83.1,11.92,14.34,21.53,2.57
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,品类,外卖,7456,216107,345.01,8876,277829,319.48,25.53,7.99,24.35,6.22
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,品类,到店,23476,1085151,216.34,17513,1347235,129.99,86.35,66.43,9.74,8.41
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,品类,酒旅,3983,379679,104.9,4844,429008,112.91,-8.01,-7.09,22.47,-1.8
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,品类,闪购,4371,941115,46.44,3323,925440,35.91,10.53,29.32,17.44,1.84
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,品类,优选,18279,109731,1665.8,21639,117545,1840.91,-175.11,-9.51,19.31,-33.81
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,配送问题,22997,919322,250.15,18069,810940,222.82,27.33,12.27,2.12,0.58
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,退款问题,9374,1334203,70.26,8596,1138260,75.52,-5.26,-6.97,14.29,-0.75
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,质量问题,4570,893048,51.17,3564,1115539,31.95,19.22,60.16,-4.44,-0.85
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,服务态度,10481,1275850,82.15,9127,1119374,81.54,0.61,0.75,20.43,0.12
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,优惠券问题,25033,1371303,182.55,18507,1394041,132.76,49.79,37.5,15.32,7.63
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,账户问题,24410,1211569,201.47,17443,1072546,162.63,38.84,23.88,-4.0,-1.55
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,支付问题,6916,499533,138.45,6119,649416,94.22,44.23,46.94,7.15,3.16
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,事件类别,会员服务,11183,1314846,85.05,12747,1410625,90.36,-5.31,-5.88,21.14,-1.12
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,进线渠道,APP在线,1977,680346,29.06,1593,594360,26.8,2.26,8.43,23.72,0.54
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,进线渠道,电话热线,19194,266435,720.4,13531,318370,425.01,295.39,69.5,19.78,58.43
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,进线渠道,小程序,5184,989361,52.4,5471,898121,60.92,-8.52,-13.99,1.41,-0.12
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,进线渠道,网页端,12426,611952,203.06,10058,470432,213.8,-10.74,-5.02,14.99,-1.61
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,战区,华东战区,12268,515153,238.14,15529,453600,342.35,-104.21,-30.44,17.82,-18.57
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,战区,华南战区,10434,662762,157.43,8184,582142,140.58,16.85,11.99,4.33,0.73
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,战区,华北战区,5717,361969,157.94,5105,460667,110.82,47.12,42.52,-2.05,-0.97
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,战区,华中战区,6069,929079,65.32,5891,759969,77.52,-12.2,-15.74,7.76,-0.95
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,战区,西南战区,11457,1124631,101.87,11198,968111,115.67,-13.8,-11.93,23.92,-3.3
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,战区,西北战区,14876,965003,154.15,11130,917524,121.3,32.85,27.08,-1.56,-0.51
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,FAQ,配送时效咨询,2449,634121,38.62,2850,486189,58.62,-20.0,-34.12,6.27,-1.25
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,FAQ,退款进度查询,20009,273882,730.57,17066,240089,710.82,19.75,2.78,12.26,2.42
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,FAQ,优惠券使用,10412,311572,334.18,13250,302329,438.26,-104.08,-23.75,4.39,-4.57
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,FAQ,会员权益,9037,905769,99.77,8301,699647,118.65,-18.88,-15.91,4.76,-0.9
到餐客服,2025,W4,2025-01-27,2025-02-02,历史对比期,FAQ,积分兑换,20753,626469,331.27,16017,683250,234.42,96.85,41.31,3.84,3.72
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,城市等级,一线城市,18527,65097,2846.06,22797,49901,4568.45,-1722.39,-37.7,20.45,-352.23
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,城市等级,二线城市,15576,692245,225.01,15623,521381,299.65,-74.64,-24.91,-3.17,2.37
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,城市等级,三线城市,15608,328380,475.3,15878,284966,557.19,-81.89,-14.7,23.9,-19.57
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,城市等级,四线城市,10302,425659,242.02,9400,421882,222.81,19.21,8.62,18.96,3.64
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,城市等级,五线城市,8692,546675,159.0,11173,604913,184.7,-25.7,-13.91,22.2,-5.71
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,品类,外卖,22116,690946,320.08,24923,653111,381.6,-61.52,-16.12,9.25,-5.69
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,品类,到店,10756,660959,162.73,10530,589665,178.58,-15.85,-8.88,-3.95,0.63
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,品类,酒旅,17623,647630,272.12,19321,652345,296.18,-24.06,-8.12,13.4,-3.22
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,品类,闪购,3132,1483825,21.11,2608,1162389,22.44,-1.33,-5.93,-0.91,0.01
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,品类,优选,14590,873551,167.02,11358,714058,159.06,7.96,5.0,8.45,0.67
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,配送问题,3401,1276571,26.64,3210,955946,33.58,-6.94,-20.67,22.5,-1.56
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,退款问题,25054,1300294,192.68,25801,1297074,198.92,-6.24,-3.14,-2.27,0.14
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,质量问题,10984,872533,125.89,9004,662822,135.84,-9.95,-7.32,11.82,-1.18
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,服务态度,10236,98336,1040.92,9246,93935,984.3,56.62,5.75,-3.67,-2.08
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,优惠券问题,15896,652002,243.8,12369,751401,164.61,79.19,48.11,3.4,2.69
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,账户问题,23581,1334809,176.66,18320,1287173,142.33,34.33,24.12,3.55,1.22
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,支付问题,3277,1464900,22.37,3680,1346140,27.34,-4.97,-18.18,10.03,-0.5
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,事件类别,会员服务,7967,1215627,65.54,7225,1242959,58.13,7.41,12.75,7.67,0.57
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,进线渠道,APP在线,18780,1148188,163.56,23827,1289745,184.74,-21.18,-11.46,8.31,-1.76
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,进线渠道,电话热线,3107,458872,67.71,4013,530313,75.67,-7.96,-10.52,2.9,-0.23
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,进线渠道,小程序,20917,1050826,199.05,18332,1060461,172.87,26.18,15.14,-1.04,-0.27
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,进线渠道,网页端,8338,1242466,67.11,8401,1322377,63.53,3.58,5.64,-3.87,-0.14
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,战区,华东战区,10676,1647679,64.79,9262,1106194,83.73,-18.94,-22.62,21.0,-3.98
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,战区,华南战区,5988,298603,200.53,6696,315737,212.08,-11.55,-5.45,-4.32,0.5
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,战区,华北战区,16299,272731,597.62,17166,302318,567.81,29.81,5.25,-0.81,-0.24
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,战区,华中战区,26805,1169474,229.21,22060,868246,254.08,-24.87,-9.79,1.8,-0.45
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,战区,西南战区,24594,808672,304.13,18765,1071005,175.21,128.92,73.58,-2.26,-2.91
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,战区,西北战区,12257,1086527,112.81,12262,1109029,110.57,2.24,2.03,24.34,0.55
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,FAQ,配送时效咨询,11115,370117,300.31,10905,377694,288.73,11.58,4.01,16.98,1.97
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,FAQ,退款进度查询,19668,1073892,183.15,19507,1212204,160.92,22.23,13.81,22.85,5.08
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,FAQ,优惠券使用,22657,675520,335.4,25832,742454,347.93,-12.53,-3.6,18.72,-2.35
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,FAQ,会员权益,3672,1194092,30.75,2899,831902,34.85,-4.1,-11.76,-4.2,0.17
到餐客服,2025,W5,2025-02-03,2025-02-09,历史对比期,FAQ,积分兑换,21348,502771,424.61,18630,473532,393.43,31.18,7.93,22.72,7.08
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,城市等级,一线城市,2374,155530,152.64,2050,124756,164.32,-11.68,-7.11,8.18,-0.96
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,城市等级,二线城市,7937,876479,90.56,7426,651737,113.94,-23.38,-20.52,7.79,-1.82
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,城市等级,三线城市,9586,592571,161.77,8598,458984,187.33,-25.56,-13.64,23.99,-6.13
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,城市等级,四线城市,14547,955391,152.26,14059,1069796,131.42,20.84,15.86,24.88,5.18
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,城市等级,五线城市,25679,186211,1379.03,19286,135618,1422.08,-43.05,-3.03,13.38,-5.76
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,品类,外卖,15799,221659,712.76,16524,270727,610.36,102.4,16.78,22.98,23.53
到餐客服,2025,W6,2025-02-10,2025-02-16,历史对比期,品类,到店,7747,1572748,49.26,9882,1353219,73.03,-23.77,-32.55,16.78,-3.99
