业务名称,年份,周次,日期,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%
到餐客服,2025,W5,2025-02-07,14644,139502,1049.73,16763,191185,876.79,172.94,19.72
到餐客服,2025,W5,2025-02-08,17998,673790,267.12,13516,723166,186.9,80.22,42.92
到餐客服,2025,W5,2025-02-09,2381,1249170,19.06,3036,1411739,21.51,-2.45,-11.39
到餐客服,2025,W6,2025-02-10,24774,731938,338.47,17094,721461,236.94,101.53,42.85
到餐客服,2025,W6,2025-02-11,16153,668275,241.71,18774,603568,311.05,-69.34,-22.29
到餐客服,2025,W6,2025-02-12,6093,1666412,36.56,4409,1499737,29.4,7.16,24.35
到餐客服,2025,W6,2025-02-13,12876,1157903,111.2,17545,914095,191.94,-80.74,-42.07
到餐客服,2025,W6,2025-02-14,23886,378495,631.08,17269,360463,479.08,152.0,31.73
到餐客服,2025,W6,2025-02-15,15192,611736,248.34,11950,605203,197.45,50.89,25.77
到餐客服,2025,W6,2025-02-16,19346,971029,199.23,18070,739305,244.42,-45.19,-18.49
到餐客服,2025,W7,2025-02-17,13999,116874,1197.79,9511,111585,852.35,345.44,40.53
到餐客服,2025,W7,2025-02-18,7035,387279,181.65,7782,385183,202.03,-20.38,-10.09
到餐客服,2025,W7,2025-02-19,6056,944783,64.1,6616,945048,70.01,-5.91,-8.44
到餐客服,2025,W7,2025-02-20,15745,720956,218.39,21784,578177,376.77,-158.38,-42.04
到餐客服,2025,W7,2025-02-21,12861,596540,215.59,11644,704598,165.26,50.33,30.46
到餐客服,2025,W7,2025-02-22,4210,978708,43.02,3980,1179032,33.76,9.26,27.43
到餐客服,2025,W7,2025-02-23,19788,376231,525.95,21726,379614,572.32,-46.37,-8.1
到餐客服,2025,W8,2025-02-24,3272,1403464,23.31,3211,1565668,20.51,2.8,13.65
到餐客服,2025,W8,2025-02-25,20137,937705,214.75,18662,831284,224.5,-9.75,-4.34
到餐客服,2025,W8,2025-02-26,5027,292581,171.82,5653,278015,203.33,-31.51,-15.5
到餐客服,2025,W8,2025-02-27,20079,1284499,156.32,27301,1194875,228.48,-72.16,-31.58
到餐客服,2025,W8,2025-02-28,21463,105268,2038.89,20615,90555,2276.52,-237.63,-10.44
到餐客服,2025,W8,2025-03-01,12881,899591,143.19,10771,943321,114.18,29.01,25.41
到餐客服,2025,W8,2025-03-02,7320,382845,191.2,6759,391650,172.58,18.62,10.79
到餐客服,2025,W9,2025-03-03,20100,1091155,184.21,23221,1116298,208.02,-23.81,-11.45
到餐客服,2025,W9,2025-03-04,10646,353404,301.24,8550,294763,290.06,11.18,3.85
到餐客服,2025,W9,2025-03-05,9230,935416,98.67,9744,883658,110.27,-11.6,-10.52
到餐客服,2025,W9,2025-03-06,10508,1496355,70.22,9008,1488721,60.51,9.71,16.05
到餐客服,2025,W9,2025-03-07,7016,307064,228.49,5507,263464,209.02,19.47,9.31
到餐客服,2025,W9,2025-03-08,13245,195202,678.53,10233,198205,516.28,162.25,31.43
到餐客服,2025,W9,2025-03-09,9190,652224,140.9,8347,610679,136.68,4.22,3.09
到餐客服,2025,W10,2025-03-10,1843,191316,96.33,1876,234606,79.96,16.37,20.47
到餐客服,2025,W10,2025-03-11,3233,1642003,19.69,3619,1406601,25.73,-6.04,-23.47
到餐客服,2025,W10,2025-03-12,11910,174767,681.48,12875,125192,1028.42,-346.94,-33.74
到餐客服,2025,W10,2025-03-13,8690,1022693,84.97,6842,893014,76.62,8.35,10.9
到餐客服,2025,W10,2025-03-14,18145,1130455,160.51,13404,1223505,109.55,50.96,46.52
到餐客服,2025,W10,2025-03-15,14211,152877,929.57,11546,174544,661.5,268.07,40.52
到餐客服,2025,W10,2025-03-16,6426,851085,75.5,5990,717154,83.52,-8.02,-9.6
到餐客服,2025,W11,2025-03-17,17504,879469,199.03,22274,905203,246.07,-47.04,-19.12
到餐客服,2025,W11,2025-03-18,8591,765726,112.19,5796,642535,90.21,21.98,24.37
到餐客服,2025,W11,2025-03-19,11936,201879,591.25,12121,142660,849.64,-258.39,-30.41
到餐客服,2025,W11,2025-03-20,19865,983345,202.01,23319,1127623,206.8,-4.79,-2.32
到餐客服,2025,W11,2025-03-21,17503,982546,178.14,17901,928456,192.8,-14.66,-7.6
到餐客服,2025,W11,2025-03-22,19210,1288862,149.05,18359,1428259,128.54,20.51,15.96
到餐客服,2025,W11,2025-03-23,14291,301014,474.76,16717,355919,469.69,5.07,1.08
到餐客服,2025,W12,2025-03-24,17969,708007,253.8,14212,798952,177.88,75.92,42.68
到餐客服,2025,W12,2025-03-25,15035,1070699,140.42,15403,964876,159.64,-19.22,-12.04
到餐客服,2025,W12,2025-03-26,7417,603927,122.81,8324,747608,111.34,11.47,10.3
到餐客服,2025,W12,2025-03-27,8247,1659062,49.71,9008,1291179,69.77,-20.06,-28.75
到餐客服,2025,W12,2025-03-28,2300,849054,27.09,1840,858507,21.43,5.66,26.41
到餐客服,2025,W12,2025-03-29,20246,1538757,131.57,18092,1587730,113.95,17.62,15.46
到餐客服,2025,W12,2025-03-30,22634,1223704,184.96,20208,1403648,143.97,40.99,28.47
到餐客服,2025,W13,2025-03-31,20649,473966,435.66,20052,410603,488.35,-52.69,-10.79
到餐客服,2025,W13,2025-04-01,16447,1640711,100.24,11317,1297824,87.2,13.04,14.95
到餐客服,2025,W13,2025-04-02,25713,611735,420.33,25555,600605,425.49,-5.16,-1.21
到餐客服,2025,W13,2025-04-03,1804,867269,20.8,2214,685544,32.3,-11.5,-35.6
到餐客服,2025,W13,2025-04-04,16100,1511277,106.53,12092,1381374,87.54,18.99,21.69
到餐客服,2025,W13,2025-04-05,17168,1028363,166.94,16202,1167602,138.76,28.18,20.31
到餐客服,2025,W13,2025-04-06,18276,1376192,132.8,19148,1276003,150.06,-17.26,-11.5
到餐客服,2025,W14,2025-04-07,16386,1017204,161.09,20225,1137508,177.8,-16.71,-9.4
到餐客服,2025,W14,2025-04-08,25406,1367618,185.77,26655,1446916,184.22,1.55,0.84
到餐客服,2025,W14,2025-04-09,18783,1335768,140.62,16331,1477982,110.5,30.12,27.26
到餐客服,2025,W14,2025-04-10,13337,679601,196.25,10730,777583,137.99,58.26,42.22
到餐客服,2025,W14,2025-04-11,11944,611585,195.3,9995,580375,172.22,23.08,13.4
到餐客服,2025,W14,2025-04-12,16505,739544,223.18,13833,922961,149.88,73.3,48.91
到餐客服,2025,W14,2025-04-13,4840,296274,163.36,6446,320421,201.17,-37.81,-18.8
到餐客服,2025,W15,2025-04-14,11246,539348,208.51,10776,469554,229.49,-20.98,-9.14
到餐客服,2025,W15,2025-04-15,22672,1164596,194.68,21462,1503623,142.74,51.94,36.39
到餐客服,2025,W15,2025-04-16,4499,1020937,44.07,4729,1078406,43.85,0.22,0.5
到餐客服,2025,W15,2025-04-17,18299,1113501,164.34,17922,1025985,174.68,-10.34,-5.92
到餐客服,2025,W15,2025-04-18,16303,884549,184.31,14911,984838,151.41,32.9,21.73
到餐客服,2025,W15,2025-04-19,16128,685365,235.32,14986,756549,198.08,37.24,18.8
到餐客服,2025,W15,2025-04-20,12628,259788,486.09,13307,295472,450.36,35.73,7.93
到餐客服,2025,W16,2025-04-21,15071,1222008,123.33,14124,1554308,90.87,32.46,35.72
到餐客服,2025,W16,2025-04-22,13535,1132975,119.46,15209,1019214,149.22,-29.76,-19.94
到餐客服,2025,W16,2025-04-23,5122,291017,176.0,5101,294891,172.98,3.02,1.75
到餐客服,2025,W16,2025-04-24,17200,569947,301.78,17427,593784,293.49,8.29,2.82
到餐客服,2025,W16,2025-04-25,20656,765688,269.77,16041,822353,195.06,74.71,38.3
到餐客服,2025,W16,2025-04-26,13294,1447608,91.83,10166,1246106,81.58,10.25,12.56
到餐客服,2025,W16,2025-04-27,16946,1010958,167.62,15566,718184,216.74,-49.12,-22.66
到餐客服,2025,W17,2025-04-28,4033,1099965,36.66,3907,1386034,28.19,8.47,30.05
到餐客服,2025,W17,2025-04-29,9190,892877,102.93,8232,752149,109.45,-6.52,-5.96
到餐客服,2025,W17,2025-04-30,23946,1334703,179.41,18068,939674,192.28,-12.87,-6.69
到餐客服,2025,W17,2025-05-01,9152,560194,163.37,8241,595151,138.47,24.9,17.98
到餐客服,2025,W17,2025-05-02,20895,1151362,181.48,15343,1519573,100.97,80.51,79.74
到餐客服,2025,W17,2025-05-03,20721,296660,698.48,16209,234661,690.74,7.74,1.12
到餐客服,2025,W17,2025-05-04,23844,1209178,197.19,19764,1320572,149.66,47.53,31.76
到餐客服,2025,W18,2025-05-05,21720,848623,255.94,21242,780652,272.11,-16.17,-5.94
到餐客服,2025,W18,2025-05-06,12497,949070,131.68,15339,906014,169.3,-37.62,-22.22
到餐客服,2025,W18,2025-05-07,5205,908363,57.3,4990,780548,63.93,-6.63,-10.37
到餐客服,2025,W18,2025-05-08,25020,977891,255.86,18351,1190007,154.21,101.65,65.92
到餐客服,2025,W18,2025-05-09,12404,833439,148.83,9438,852768,110.67,38.16,34.48
到餐客服,2025,W18,2025-05-10,17062,963003,177.17,12268,1145218,107.12,70.05,65.39
到餐客服,2025,W18,2025-05-11,20412,868051,235.15,21621,620372,348.52,-113.37,-32.53
到餐客服,2025,W19,2025-05-12,21321,901018,236.63,22763,736668,309.0,-72.37,-23.42
到餐客服,2025,W19,2025-05-13,10052,1453120,69.18,8760,1066780,82.12,-12.94,-15.76
到餐客服,2025,W19,2025-05-14,4244,406551,104.39,4512,397542,113.5,-9.11,-8.03
到餐客服,2025,W19,2025-05-15,15838,1197360,132.27,16843,1129007,149.18,-16.91,-11.34
到餐客服,2025,W19,2025-05-16,25075,710615,352.86,27552,604111,456.08,-103.22,-22.63
到餐客服,2025,W19,2025-05-17,10793,1025442,105.25,7103,924131,76.86,28.39,36.94
到餐客服,2025,W19,2025-05-18,5859,245106,239.04,5690,275402,206.61,32.43,15.7
到餐客服,2025,W20,2025-05-19,18621,205130,907.77,20707,227869,908.72,-0.95,-0.1
到餐客服,2025,W20,2025-05-20,13081,154756,845.27,16893,135675,1245.11,-399.84,-32.11
到餐客服,2025,W20,2025-05-21,12239,395834,309.2,9290,338673,274.31,34.89,12.72
到餐客服,2025,W20,2025-05-22,20309,555290,365.74,25142,633539,396.85,-31.11,-7.84
到餐客服,2025,W20,2025-05-23,13782,1004370,137.22,9135,1058097,86.33,50.89,58.95
到餐客服,2025,W20,2025-05-24,21305,901142,236.42,18504,1178871,156.96,79.46,50.62
到餐客服,2025,W20,2025-05-25,9828,460561,213.39,8690,574848,151.17,62.22,41.16
到餐客服,2025,W21,2025-05-26,10493,1450688,72.33,10185,1024653,99.4,-27.07,-27.23
到餐客服,2025,W21,2025-05-27,11812,1342514,87.98,10484,1031388,101.65,-13.67,-13.45
到餐客服,2025,W21,2025-05-28,24776,1247475,198.61,18775,1077830,174.19,24.42,14.02
到餐客服,2025,W21,2025-05-29,8681,1070728,81.08,10250,1032512,99.27,-18.19,-18.32
到餐客服,2025,W21,2025-05-30,15546,715547,217.26,17185,874093,196.6,20.66,10.51
到餐客服,2025,W21,2025-05-31,11556,854067,135.31,10810,723343,149.45,-14.14,-9.46
到餐客服,2025,W21,2025-06-01,23242,1271589,182.78,15255,1110187,137.41,45.37,33.02
到餐客服,2025,W22,2025-06-02,8418,824593,102.09,11173,660693,169.11,-67.02,-39.63
到餐客服,2025,W22,2025-06-03,18824,290653,647.65,23897,230852,1035.17,-387.52,-37.44
到餐客服,2025,W22,2025-06-04,23493,505905,464.38,25463,456480,557.81,-93.43,-16.75
到餐客服,2025,W22,2025-06-05,16055,1178352,136.25,11988,1052440,113.91,22.34,19.61
到餐客服,2025,W22,2025-06-06,19011,1076603,176.58,21268,965645,220.25,-43.67,-19.83
到餐客服,2025,W22,2025-06-07,12076,288980,417.88,14558,249122,584.37,-166.49,-28.49
到餐客服,2025,W22,2025-06-08,22306,682065,327.04,16596,886415,187.23,139.81,74.67
到餐客服,2025,W23,2025-06-09,21187,1039925,203.74,22093,808875,273.13,-69.39,-25.41
到餐客服,2025,W23,2025-06-10,3453,763673,45.22,2825,775447,36.43,8.79,24.13
到餐客服,2025,W23,2025-06-11,3119,987607,31.58,3194,877999,36.38,-4.8,-13.19
到餐客服,2025,W23,2025-06-12,3321,326867,101.6,3460,285994,120.98,-19.38,-16.02
到餐客服,2025,W23,2025-06-13,16097,560943,286.96,18037,528551,341.25,-54.29,-15.91
到餐客服,2025,W23,2025-06-14,9706,430095,225.67,7481,526913,141.98,83.69,58.94
到餐客服,2025,W23,2025-06-15,21089,1271211,165.9,17536,1162405,150.86,15.04,9.97
到餐客服,2025,W24,2025-06-16,23377,559640,417.71,19559,479506,407.9,9.81,2.41
到餐客服,2025,W24,2025-06-17,9012,1221549,73.78,7798,902362,86.42,-12.64,-14.63
到餐客服,2025,W24,2025-06-18,26548,504672,526.04,19291,328999,586.35,-60.31,-10.29
到餐客服,2025,W24,2025-06-19,12328,1475404,83.56,11378,1026343,110.86,-27.3,-24.63
到餐客服,2025,W24,2025-06-20,8544,441310,193.61,7151,455677,156.93,36.68,23.37
到餐客服,2025,W24,2025-06-21,3604,1520002,23.71,4315,1113319,38.76,-15.05,-38.83
到餐客服,2025,W24,2025-06-22,7295,1002144,72.79,6725,1213264,55.43,17.36,31.32
到餐客服,2025,W25,2025-06-23,8283,936074,88.49,7878,1174110,67.1,21.39,31.88
到餐客服,2025,W25,2025-06-24,19383,1241513,156.12,21576,1446246,149.19,6.93,4.65
到餐客服,2025,W25,2025-06-25,20877,987424,211.43,20118,1136816,176.97,34.46,19.47
到餐客服,2025,W25,2025-06-26,14263,1119756,127.38,15397,987428,155.93,-28.55,-18.31
到餐客服,2025,W25,2025-06-27,9565,1291448,74.06,7813,1161251,67.28,6.78,10.08
到餐客服,2025,W25,2025-06-28,15109,693107,217.99,10401,625734,166.22,51.77,31.15
到餐客服,2025,W25,2025-06-29,3710,882503,42.04,3472,822019,42.24,-0.2,-0.47
到餐客服,2025,W26,2025-06-30,12561,245193,512.29,9541,309770,308.0,204.29,66.33
到餐客服,2025,W26,2025-07-01,8308,1073996,77.36,7696,729895,105.44,-28.08,-26.63
到餐客服,2025,W26,2025-07-02,14884,413654,359.82,10358,306921,337.48,22.34,6.62
到餐客服,2025,W26,2025-07-03,15725,591546,265.83,19978,503397,396.86,-131.03,-33.02
到餐客服,2025,W26,2025-07-04,13589,1129850,120.27,12743,937448,135.93,-15.66,-11.52
到餐客服,2025,W26,2025-07-05,9656,1171390,82.43,8609,1196363,71.96,10.47,14.55
到餐客服,2025,W26,2025-07-06,11514,432800,266.04,9492,297401,319.17,-53.13,-16.65
到餐客服,2025,W27,2025-07-07,8172,1422296,57.46,9481,1519758,62.38,-4.92,-7.89
到餐客服,2025,W27,2025-07-08,18953,397093,477.29,15577,361775,430.57,46.72,10.85
到餐客服,2025,W27,2025-07-09,11284,242627,465.08,13574,224191,605.47,-140.39,-23.19
到餐客服,2025,W27,2025-07-10,17509,315729,554.56,17832,307763,579.41,-24.85,-4.29
到餐客服,2025,W27,2025-07-11,20223,1241865,162.84,23114,1368582,168.89,-6.05,-3.58
到餐客服,2025,W27,2025-07-12,19632,1534788,127.91,21098,1504673,140.22,-12.31,-8.78
到餐客服,2025,W27,2025-07-13,17864,641136,278.63,16054,713597,224.97,53.66,23.85
到餐客服,2025,W28,2025-07-14,11122,594175,187.18,8360,386155,216.49,-29.31,-13.54
到餐客服,2025,W28,2025-07-15,8051,208408,386.31,9085,191575,474.23,-87.92,-18.54
到餐客服,2025,W28,2025-07-16,12223,768630,159.02,14773,949492,155.59,3.43,2.2
到餐客服,2025,W28,2025-07-17,21889,1467632,149.15,17743,1346671,131.75,17.4,13.21
到餐客服,2025,W28,2025-07-18,24814,439803,564.21,20397,388418,525.13,39.08,7.44
到餐客服,2025,W28,2025-07-19,2743,385159,71.22,2259,258582,87.36,-16.14,-18.48
到餐客服,2025,W28,2025-07-20,21433,748574,286.32,16425,634354,258.92,27.4,10.58
到餐客服,2025,W29,2025-07-21,14644,1214693,120.56,14576,1220020,119.47,1.09,0.91
到餐客服,2025,W29,2025-07-22,5992,1039920,57.62,4187,1128431,37.1,20.52,55.31
到餐客服,2025,W29,2025-07-23,27864,1497697,186.05,26026,1172452,221.98,-35.93,-16.19
到餐客服,2025,W29,2025-07-24,7848,1006533,77.97,9392,1203363,78.05,-0.08,-0.1
到餐客服,2025,W29,2025-07-25,16696,548600,304.34,18091,492649,367.22,-62.88,-17.12
到餐客服,2025,W29,2025-07-26,18603,1171618,158.78,21063,1149312,183.27,-24.49,-13.36
到餐客服,2025,W29,2025-07-27,2410,109935,219.22,2286,81534,280.37,-61.15,-21.81
到餐客服,2025,W30,2025-07-28,14267,989784,144.14,11248,1044121,107.73,36.41,33.8
到餐客服,2025,W30,2025-07-29,20952,1119501,187.15,19255,1499290,128.43,58.72,45.72
到餐客服,2025,W30,2025-07-30,9851,895196,110.04,8252,891581,92.55,17.49,18.9
到餐客服,2025,W30,2025-07-31,18501,1057795,174.9,15818,1201607,131.64,43.26,32.86
到餐客服,2025,W30,2025-08-01,9980,801343,124.54,7363,865247,85.1,39.44,46.35
到餐客服,2025,W30,2025-08-02,6452,525487,122.78,5390,441050,122.21,0.57,0.47
到餐客服,2025,W30,2025-08-03,8986,1357159,66.21,10940,1205834,90.73,-24.52,-27.03
到餐客服,2025,W31,2025-08-04,5030,887327,56.69,5526,696900,79.29,-22.6,-28.5
到餐客服,2025,W31,2025-08-05,21370,254317,840.29,23934,240610,994.72,-154.43,-15.52
到餐客服,2025,W31,2025-08-06,22412,1363964,164.32,19288,1283710,150.25,14.07,9.36
到餐客服,2025,W31,2025-08-07,17267,542773,318.13,15619,423872,368.48,-50.35,-13.66
到餐客服,2025,W31,2025-08-08,26566,534371,497.15,26796,478409,560.11,-62.96,-11.24
到餐客服,2025,W31,2025-08-09,11728,127893,917.02,13102,108058,1212.5,-295.48,-24.37
到餐客服,2025,W31,2025-08-10,7924,765583,103.5,6981,897126,77.82,25.68,33.0
到餐客服,2025,W32,2025-08-11,4035,281731,143.22,3691,263700,139.97,3.25,2.32
到餐客服,2025,W32,2025-08-12,8754,136124,643.09,8885,145175,612.02,31.07,5.08
到餐客服,2025,W32,2025-08-13,3564,222425,160.23,4523,217607,207.85,-47.62,-22.91
到餐客服,2025,W32,2025-08-14,7210,612252,117.76,6157,776863,79.25,38.51,48.59
到餐客服,2025,W32,2025-08-15,5254,338489,155.22,4678,360167,129.88,25.34,19.51
到餐客服,2025,W32,2025-08-16,11676,628999,185.63,9916,539988,183.63,2.0,1.09
到餐客服,2025,W32,2025-08-17,18447,1036607,177.96,18346,721828,254.16,-76.2,-29.98
到餐客服,2025,W33,2025-08-18,14836,591467,250.83,16896,473318,356.97,-106.14,-29.73
到餐客服,2025,W33,2025-08-19,2065,408650,50.53,2559,273545,93.55,-43.02,-45.99
到餐客服,2025,W33,2025-08-20,12470,1585463,78.65,11078,1477491,74.98,3.67,4.89
到餐客服,2025,W33,2025-08-21,9426,1075850,87.61,10914,1133942,96.25,-8.64,-8.98
到餐客服,2025,W33,2025-08-22,17355,1144067,151.7,13910,877513,158.52,-6.82,-4.3
到餐客服,2025,W33,2025-08-23,4730,884861,53.45,5489,955773,57.43,-3.98,-6.93
到餐客服,2025,W33,2025-08-24,15388,209804,733.45,19372,155566,1245.26,-511.81,-41.1
到餐客服,2025,W34,2025-08-25,4646,1079198,43.05,4361,771483,56.53,-13.48,-23.85
到餐客服,2025,W34,2025-08-26,6991,1125131,62.13,7351,1060291,69.33,-7.2,-10.39
到餐客服,2025,W34,2025-08-27,8115,497856,163.0,6020,403719,149.11,13.89,9.32
到餐客服,2025,W34,2025-08-28,7955,240014,331.44,6752,214915,314.17,17.27,5.5
到餐客服,2025,W34,2025-08-29,2959,1310188,22.58,2886,1188957,24.27,-1.69,-6.96
到餐客服,2025,W34,2025-08-30,13433,1197023,112.22,9576,1107324,86.48,25.74,29.76
到餐客服,2025,W34,2025-08-31,14013,595739,235.22,16235,596883,272.0,-36.78,-13.52
到餐客服,2025,W35,2025-09-01,3691,556746,66.3,4112,569433,72.21,-5.91,-8.18
到餐客服,2025,W35,2025-09-02,19655,618239,317.92,14918,570147,261.65,56.27,21.51
到餐客服,2025,W35,2025-09-03,21619,937321,230.65,17727,964444,183.81,46.84,25.48
到餐客服,2025,W35,2025-09-04,5285,1220682,43.3,6111,1334470,45.79,-2.49,-5.44
到餐客服,2025,W35,2025-09-05,15534,616053,252.15,14279,599601,238.14,14.01,5.88
到餐客服,2025,W35,2025-09-06,13363,1384046,96.55,11631,1224424,94.99,1.56,1.64
到餐客服,2025,W35,2025-09-07,14950,346274,431.74,13400,373296,358.96,72.78,20.28
到餐客服,2025,W36,2025-09-08,19984,125062,1597.93,20037,123682,1620.04,-22.11,-1.36
到餐客服,2025,W36,2025-09-09,5278,1410644,37.42,5076,1298626,39.09,-1.67,-4.27
到餐客服,2025,W36,2025-09-10,7372,598708,123.13,7203,604211,119.21,3.92,3.29
到餐客服,2025,W36,2025-09-11,24186,1118926,216.15,23564,1143242,206.12,10.03,4.87
到餐客服,2025,W36,2025-09-12,2679,832031,32.2,2145,734063,29.22,2.98,10.2
到餐客服,2025,W36,2025-09-13,5135,1614372,31.81,3735,1509151,24.75,7.06,28.53
到餐客服,2025,W36,2025-09-14,6429,751733,85.52,6155,691880,88.96,-3.44,-3.87
到餐客服,2025,W37,2025-09-15,15070,1262744,119.34,14230,1348656,105.51,13.83,13.11
到餐客服,2025,W37,2025-09-16,16539,1627669,101.61,15478,1528973,101.23,0.38,0.38
到餐客服,2025,W37,2025-09-17,5329,325440,163.75,3817,333420,114.48,49.27,43.04
到餐客服,2025,W37,2025-09-18,11335,322356,351.63,14968,320047,467.68,-116.05,-24.81
到餐客服,2025,W37,2025-09-19,11392,1111483,102.49,10899,1182807,92.15,10.34,11.22
到餐客服,2025,W37,2025-09-20,18960,902028,210.19,19125,1200396,159.32,50.87,31.93
到餐客服,2025,W37,2025-09-21,19042,223810,850.81,21565,180896,1192.12,-341.31,-28.63
到餐客服,2025,W38,2025-09-22,17821,919269,193.86,21885,815991,268.2,-74.34,-27.72
到餐客服,2025,W38,2025-09-23,5278,707993,74.55,4277,726040,58.91,15.64,26.55
到餐客服,2025,W38,2025-09-24,4612,655700,70.34,4268,795298,53.67,16.67,31.06
到餐客服,2025,W38,2025-09-25,11120,955491,116.38,10354,861180,120.23,-3.85,-3.2
到餐客服,2025,W38,2025-09-26,16510,382034,432.16,16769,337076,497.48,-65.32,-13.13
到餐客服,2025,W38,2025-09-27,15227,491630,309.72,14924,574346,259.84,49.88,19.2
到餐客服,2025,W38,2025-09-28,25512,1311395,194.54,24995,1151072,217.15,-22.61,-10.41
到餐客服,2025,W39,2025-09-29,11025,536152,205.63,7944,529702,149.97,55.66,37.11
到餐客服,2025,W39,2025-09-30,12500,237997,525.22,11449,207539,551.66,-26.44,-4.79
到餐客服,2025,W39,2025-10-01,25525,1030582,247.68,19425,888967,218.51,29.17,13.35
到餐客服,2025,W39,2025-10-02,7897,1711605,46.14,7586,1189147,63.79,-17.65,-27.67
到餐客服,2025,W39,2025-10-03,21444,723370,296.45,17943,769554,233.16,63.29,27.14
到餐客服,2025,W39,2025-10-04,21360,920788,231.98,20658,1037929,199.03,32.95,16.56
到餐客服,2025,W39,2025-10-05,19902,1448200,137.43,17753,1278864,138.82,-1.39,-1.0
到餐客服,2025,W40,2025-10-06,15424,1259931,122.42,18471,1370534,134.77,-12.35,-9.16
到餐客服,2025,W40,2025-10-07,5886,222505,264.53,7501,248377,302.0,-37.47,-12.41
到餐客服,2025,W40,2025-10-08,21090,1325798,159.07,24892,1298278,191.73,-32.66,-17.03
到餐客服,2025,W40,2025-10-09,10183,516636,197.1,8813,537860,163.85,33.25,20.29
到餐客服,2025,W40,2025-10-10,18590,905676,205.26,16938,891271,190.04,15.22,8.01
到餐客服,2025,W40,2025-10-11,12039,285623,421.5,11829,264306,447.55,-26.05,-5.82
到餐客服,2025,W40,2025-10-12,5920,382387,154.82,7832,456746,171.47,-16.65,-9.71
到餐客服,2025,W41,2025-10-13,5413,325438,166.33,5563,245105,226.96,-60.63,-26.71
到餐客服,2025,W41,2025-10-14,15946,960609,166.0,20642,727738,283.65,-117.65,-41.48
到餐客服,2025,W41,2025-10-15,10546,771551,136.69,12148,878501,138.28,-1.59,-1.15
到餐客服,2025,W41,2025-10-16,8127,352716,230.41,8241,285259,288.9,-58.49,-20.25
