业务名称,维度类型,维度值,本期服务量,本期订单量,本期万服,对比期服务量,对比期订单量,对比期万服,绝对差(delta),YoY%,贡献度%,次/万单贡献
闪购客服,品类,鲜花绿植,3456,189234,182.61,3234,178234,181.46,11.5,0.63,2.36,0.24
闪购客服,品类,医药健康,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
闪购客服,品类,日用百货,4567,256789,177.91,4234,245678,172.36,55.5,3.22,11.38,1.14
闪购客服,品类,酒水饮料,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
企客业务,城市等级,一线城市,3456,189234,182.61,3234,178234,181.46,11.5,0.63,2.36,0.24
企客业务,城市等级,二线城市,4234,234567,180.44,3856,223456,172.61,78.3,4.53,16.05,1.61
企客业务,城市等级,三线城市,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
企客业务,城市等级,四线城市,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
企客业务,品类,企业外卖,4567,256789,177.91,4234,245678,172.36,55.5,3.22,11.38,1.14
企客业务,品类,企业团购,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
企客业务,品类,企业定制,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
企客业务,事件类别,配送问题,2345,123456,189.95,2156,112345,191.89,-1.94,-1.01,-0.40,-0.02
企客业务,事件类别,退款问题,1234,67890,181.78,1123,64567,174.00,77.8,4.47,15.95,1.60
企客业务,事件类别,新增分类-企业专属,567,34567,164.01,0,0,0,164.01,N/A,N/A,N/A
